Timestamp,EEG.F7,EEG.F8,dummy
1733043505.262411,-7.998723,-54.956001,0
1733043505.270224,-6.966108,-48.241047,0
1733043505.278037,3.799319,-23.089729,0
1733043505.28585,19.164751,-14.869716,0
1733043505.293663,14.534817,-27.15023,0
1733043505.301476,2.224897,-34.295387,0
1733043505.309289,-8.535789,-40.921093,0
1733043505.317102,-24.921099,-62.397095,0
1733043505.324915,-30.019255,-74.630081,0
1733043505.332728,-23.329237,-68.920067,0
1733043505.340541,-38.16283,-83.195763,0
1733043505.348354,-58.104668,-111.28949,0
1733043505.356167,-45.751179,-101.956665,0
1733043505.36398,-21.626965,-69.067017,0
1733043505.371793,-6.748415,-36.210255,0
1733043505.379606,14.775256,-27.977121,0
1733043505.38742,37.814327,-31.535297,0
1733043505.395233,39.825745,-32.528378,0
1733043505.403046,20.830534,-40.692772,0
1733043505.410859,-1.219528,-61.144386,0
1733043505.418672,-11.464462,-71.329399,0
1733043505.426485,-6.329921,-64.598068,0
1733043505.434298,-4.27436,-64.53347,0
1733043505.442111,-15.540855,-69.59201,0
1733043505.449924,-19.111467,-63.374729,0
1733043505.457737,-2.186203,-52.040585,0
1733043505.46555,11.648292,-41.230083,0
1733043505.473363,11.636642,-30.942698,0
1733043505.481176,15.21116,-28.350218,0
1733043505.488989,13.659026,-37.031097,0
1733043505.496802,-1.723864,-51.85099,0
1733043505.504615,-6.845217,-58.459137,0
1733043505.512428,-0.690679,-55.839142,0
1733043505.520241,-11.960758,-63.980225,0
1733043505.528054,-29.367258,-79.285477,0
1733043505.535868,-22.677891,-77.15696,0
1733043505.543681,-8.822906,-68.370575,0
1733043505.551494,-10.351007,-69.326813,0
1733043505.559307,-18.02527,-64.646721,0
1733043505.56712,-16.98263,-56.385151,0
1733043505.574933,-10.305647,-54.279533,0
1733043505.582746,-14.906111,-52.176025,0
1733043505.590559,-26.161974,-61.857693,0
1733043505.598372,-29.209658,-81.775833,0
1733043505.606185,-29.180449,-82.206367,0
1733043505.613998,-30.68819,-75.976471,0
1733043505.621811,-27.071348,-86.658958,0
1733043505.629624,-19.871969,-82.986145,0
1733043505.637437,-7.556714,-57.287773,0
1733043505.64525,6.795459,-42.373562,0
1733043505.653063,9.86251,-36.183495,0
1733043505.660876,8.315723,-33.073463,0
1733043505.668689,14.967408,-40.725006,0
1733043505.676502,17.513979,-47.85659,0
1733043505.684316,3.15185,-59.079502,0
1733043505.692129,-16.318995,-79.512733,0
1733043505.699942,-20.401136,-85.58091,0
1733043505.707755,-10.134582,-84.470711,0
1733043505.715568,-11.66137,-95.144707,0
1733043505.723381,-24.457401,-93.000328,0
1733043505.731194,-13.162175,-72.415024,0
1733043505.739007,17.077141,-56.461067,0
1733043505.74682,31.40468,-46.158451,0
1733043505.754633,33.934814,-40.47691,0
1733043505.762446,36.462418,-43.510281,0
1733043505.770259,30.790569,-47.565231,0
1733043505.778072,20.001318,-58.276127,0
1733043505.785885,1.53824,-76.148621,0
1733043505.793698,-22.029453,-83.757088,0
1733043505.801511,-22.519732,-89.821022,0
1733043505.809324,-9.177211,-102.538895,0
1733043505.817137,-13.778803,-99.362511,0
1733043505.82495,-13.765024,-79.795456,0
1733043505.832764,2.130279,-72.54335,0
1733043505.840577,10.837379,-75.032349,0
1733043505.84839,20.560389,-66.760391,0
1733043505.856203,32.835213,-54.910553,0
1733043505.864016,27.6793,-53.831028,0
1733043505.871829,18.94239,-55.826427,0
1733043505.879642,15.849602,-57.307522,0
1733043505.887455,4.562983,-64.422523,0
1733043505.895268,1.996882,-70.505791,0
1733043505.903081,6.605654,-70.947594,0
1733043505.910894,-11.331721,-77.536644,0
1733043505.918707,-30.788082,-91.29142,0
1733043505.92652,-19.998833,-95.810898,0
1733043505.934333,-4.097294,-85.468933,0
1733043505.942146,-5.117813,-75.649612,0
1733043505.949959,-10.748079,-79.672424,0
1733043505.957772,-13.29887,-84.203522,0
1733043505.965585,-13.797878,-72.336243,0
1733043505.973398,-12.759465,-63.04237,0
1733043505.981212,-9.160552,-76.299324,0
1733043505.989025,-4.028315,-86.981491,0
1733043505.996838,-2.999671,-76.648354,0
1733043506.004651,-7.095133,-72.473244,0
1733043506.012464,-6.063422,-77.523849,0
1733043506.020277,-1.44659,-69.249397,0
1733043506.02809,1.628703,-55.347843,0
1733043506.035903,7.774767,-49.144802,0
1733043506.043716,12.890069,-51.14489,0
1733043506.051529,2.118717,-66.975281,0
1733043506.059342,-17.863401,-90.474464,0
1733043506.067155,-25.530153,-102.679375,0
1733043506.074968,-29.090776,-113.847466,0
1733043506.082781,-38.283226,-125.004387,0
1733043506.090594,-31.584942,-99.263992,0
1733043506.098407,-6.45028,-66.377037,0
1733043506.10622,8.925402,-49.916817,0
1733043506.114033,15.064168,-69.846901,0
1733043506.121846,21.709105,-74.900131,0
1733043506.12966,12.978165,-71.751381,0
1733043506.137473,-9.064045,-86.536552,0
1733043506.145285,-16.739595,-101.819244,0
1733043506.153099,-14.161318,-107.86512,0
1733043506.160912,-24.905619,-114.929565,0
1733043506.168725,-40.249943,-119.4254,0
1733043506.176538,-39.697384,-117.769058,0
1733043506.184351,-27.874611,-110.478981,0
1733043506.192164,-16.575968,-89.363884,0
1733043506.199977,-2.214776,-74.417595,0
1733043506.20779,12.644361,-80.490868,0
1733043506.215603,20.316332,-77.336533,0
1733043506.223416,27.980631,-63.939198,0
1733043506.231229,29.489574,-67.461411,0
1733043506.239042,13.578547,-78.152412,0
1733043506.246855,-1.804263,-79.611183,0
1733043506.254668,2.296003,-83.117729,0
1733043506.262481,1.269091,-89.694611,0
1733043506.270294,-13.076794,-95.240295,0
1733043506.278108,-20.748331,-98.218903,0
1733043506.285921,-21.752199,-89.923759,0
1733043506.293733,-20.193523,-83.68615,0
1733043506.301547,-8.390253,-88.72554,0
1733043506.30936,8.011983,-84.538353,0
1733043506.317173,14.663971,-74.207657,0
1733043506.324986,10.550846,-78.231911,0
1733043506.332799,-0.218167,-84.301369,0
1733043506.340612,-6.877948,-86.266304,0
1733043506.348425,-5.846455,-93.352341,0
1733043506.356238,-2.766762,-91.209763,0
1733043506.364051,-0.714765,-81.384705,0
1733043506.371864,-7.37405,-84.889473,0
1733043506.379677,-27.346676,-95.563042,0
1733043506.38749,-33.979328,-103.1521,0
1733043506.395303,-21.137657,-105.098175,0
1733043506.403116,-16.505751,-94.234619,0
1733043506.410929,-15.46463,-80.820381,0
1733043506.418742,-2.129165,-77.153404,0
1733043506.426556,4.020656,-69.39164,0
1733043506.434368,-3.66798,-70.859169,0
1733043506.442181,-13.910465,-96.403694,0
1733043506.449995,-24.655016,-107.06575,0
1733043506.457808,-24.118053,-85.954071,0
1733043506.465621,-12.823167,-76.13427,0
1733043506.473434,-18.958036,-89.890442,0
1733043506.481247,-37.382156,-96.972862,0
1733043506.48906,-31.197081,-93.289734,0
1733043506.496873,-10.673575,-91.147217,0
1733043506.504686,-5.027517,-85.932991,0
1733043506.512499,-0.924028,-75.600906,0
1733043506.520312,7.786127,-74.500687,0
1733043506.528125,3.167571,-85.696953,0
1733043506.535938,-6.057135,-88.685104,0
1733043506.543751,-5.026463,-78.350266,0
1733043506.551564,-10.65682,-77.759605,0
1733043506.559377,-25.503086,-94.075699,0
1733043506.56719,-30.088352,-106.277,0
1733043506.575004,-21.349033,-101.559959,0
1733043506.582816,-12.106146,-88.650703,0
